"ROI Name","Slice Number","X position","Y position","Mean 10mm","Mean 13mm","Mean 17mm","Mean 22mm","Mean 28mm","Mean 37mm"
"Background 30","39","192.19886701170853","197.3520677893581","16369.37992725","16422.53546875","16502.411529702968","16597.865824259257","16672.067712852509","16719.026367966599"
"Background 31","39","219.09084363844011","171.07586959063769","15994.434778552628","15968.774157433627","15943.363324278607","15877.277328047494","15781.792714680849","15543.315883549654"
"Background 32","39","272.53241694757349","159.6387410745491","17840.17475423076","17657.785613999997","17344.921055517243","16968.096009295041","16759.568618977271","16579.009950088148"
"Background 33","39","343.8044943004428","184.76957381527748","15826.598828227849","15729.004978672565","15648.141429004976","15629.241740921052","15709.802266136363","15783.885145652601"
"Background 34","39","384.23107276243394","263.69237322538015","16003.916273333332","16021.347154424777","16048.429045891089","16032.552567361477","15977.067144805824","15863.135690255653"
"Background 35","39","375.33544884034063","299.73133576431894","15732.838338354428","15836.070520948275","15951.006790198018","15983.611131753923","15888.305695153973","15787.329849079331"
"Background 36","39","345.56636576935051","321.62430928760608","16664.237094683544","16549.957396000002","16379.012666896549","16041.308380781251","15817.270596422764","15850.553846575342"
"Lung Center +1cm","39","274.14777528386588","240.81505809347769","","","","","1522.734745793201",""
"Background 37","33","269.50959310820349","324.29786807430349","15207.018905000001","15380.938613793103","15666.090017821783","15876.356756135772","16000.580683116883","16031.036244400786"
"Background 38","33","211.64421417767295","317.28835099228155","16819.045750000001","16795.300215652176","16715.278511442786","16498.10931070496","16288.177811003239","16052.680530859376"
"Background 39","33","179.46859622871759","298.04193922496626","15193.12327","15191.953001801801","15237.798989898989","15369.769217941952","15475.516616585366","15524.655944827586"
"Background 40","33","161.63170728662487","265.57390789968179","16288.125945000002","16280.10203130435","16240.242110344829","16182.513939583334","16169.239383414637","16246.106120939336"
"Background 41","33","170.98921028093284","229.02514620770407","15945.500133333337","15875.779985585586","15742.986080000001","15742.538032","15820.30865531915","15907.912660575968"
"Background 42","33","192.19886701170853","197.3520677893581","16406.6162","16327.054017857143","16187.401601980198","16105.115426455028","16138.729430794167","16149.107755992141"
"Background 43","33","219.09084363844011","171.07586959063769","16491.29382105263","16488.601585840705","16424.135659701493","16244.915319261212","15900.315565957448","15368.576413372666"
"Background 44","33","272.53241694757349","159.6387410745491","16329.482733333331","16309.966354782608","16276.860331034482","16242.134463707571","16178.304822727272","15990.687663075416"
"Background 45","33","343.8044943004428","184.76957381527748","15134.896136708861","15223.634814159292","15444.742202985077","15769.412428421052","16040.743744155845","16183.937153680079"
"Background 46","33","384.23107276243394","263.69237322538015","15874.6958","15806.568665486728","15715.056384158417","15571.882433773088","15489.073557928805","15571.813842281219"
"Background 47","33","375.33544884034063","299.73133576431894","15342.552344303802","15366.02801724138","15409.952845544556","15418.174308900523","15493.224691734198","15638.049612144958"
"Background 48","33","345.56636576935051","321.62430928760608","15173.424253164552","15236.209582608697","15295.3240591133","15294.891408333331","15351.354990569105","15492.141752641879"
"Lung Center -1cm","33","274.14777528386588","240.81505809347769","","","","","1617.4670560906516",""
"Background 49","30","269.50959310820349","324.29786807430349","15734.129264562502","15799.022515991377","15925.977082301981","16039.729206605743","16107.337747142856","16167.968371100194"
"Background 50","30","211.64421417767295","317.28835099228155","16388.314052687499","16374.500082695653","16280.804254054727","16118.121247127936","15997.199364061489","16012.528447211913"
"Background 51","30","179.46859622871759","298.04193922496626","16195.3900796875","16256.849658153153","16361.690785833334","16370.88259817942","16261.181808219511","16090.990637586207"
"Background 52","30","161.63170728662487","265.57390789968179","16026.939825187501","16109.722408521737","16223.056278596059","16354.431636640622","16418.00819973171","16451.95945239237"
"Background 53","30","170.98921028093284","229.02514620770407","15894.130736733334","15943.003405405409","16048.087223948718","16182.326826453333","16238.9398341653","16237.260311727903"
"Background 54","30","192.19886701170853","197.3520677893581","16576.072466249996","16573.319275267855","16499.412984999999","16290.190182037035","16046.056669384114","15937.473355923379"
"Background 55","30","219.09084363844011","171.07586959063769","15403.67637223684","15547.103272079647","15804.626509751244","16060.705932546176","16179.72945184124","16158.332220447393"
"Background 56","30","272.53241694757349","159.6387410745491","15299.748133012819","15381.56636069565","15532.017694556649","15809.876093746736","15973.750762053573","15985.429362012732"
"Background 57","30","343.8044943004428","184.76957381527748","16870.672322468356","16777.073613407083","16647.649117711437","16489.156527105264","16372.543823124997","16247.950931324827"
"Background 58","30","384.23107276243394","263.69237322538015","15556.719972820507","15537.836420884958","15514.326946658413","15573.875032044854","15639.566410461164","15718.660905855457"
"Background 59","30","375.33544884034063","299.73133576431894","16137.766690253166","16151.685775689653","16108.938372945542","16002.768175876963","15870.710254797406","15714.492088707148"
"Background 60","30","345.56636576935051","321.62430928760608","15582.118310696203","15491.557297173913","15384.067472118224","15335.357568867186","15408.403588886178","15558.446699681996"
"Lung Center -2cm","30","274.14777528386588","240.81505809347769","","","","","1431.4797793626062",""
